States;Municipalities;emi_2017;emi_2018;emi_agri_2017;emi_agri_2018;emi_luc_2017;emi_luc_2018;emi_energy_2017;emi_energy_2018;emi_wast_2017;emi_waste_2018;va_2017;imp_2017;pib_2017;pib_percapta_2017;va_2018;imp_2018;pib_2018;pib_percapta_2018
BA;São Desidério;1266893.34;1577369.6;420664.78;487069.25;727817;962868;109849;118862.1;8562.56;8570.26;2258256.84;97637.52;2355894.35;69988.84;3520253.25;125727.71;3645980.96;109841.86
MA;São Domingos do Azeitão;238600.06;250909.79;36319.88;40688.02;184345;174674;15946.26;33523.55;1988.91;2024.22;162771.15;10618.63;173389.77;23781.34;202574.79;15142.21;217717;29569.06
MA;São Domingos do Maranhão;730489.96;475454.77;117894.1;118658.24;573886;317573;29137.92;29365.76;9571.94;9857.76;253031.93;16049.88;269081.81;7986.76;271997.85;18940.15;290937.99;8465.37
MA;São Félix de Balsas;121807.19;160199.93;30237.15;34147.29;90271;124550;493;665.06;806.04;837.59;46571.81;1354.41;47926.22;10762.68;44962.35;1750.98;46713.32;10135.24
BA;São Félix do Coribe;142885.66;141313.75;109780.25;99040.17;5245;13559;20657.47;20950.02;7202.93;7764.57;157549.27;11310.89;168860.16;10670.47;200963.68;13366.87;214330.55;13999.38
TO;São Félix do Tocantins;13374.61;19721.3;7778.13;7654;4321;10629;539.91;692.19;735.57;746.11;18044.54;437.46;18482;11764.48;20850.78;646.3;21497.07;13674.98
MA;São Francisco do Brejão;263207.66;227192.55;150037.48;139624.76;91725;65125;16938.3;18005.45;4506.88;4437.34;90905.66;4707.15;95612.81;8097.29;96954.29;5584.4;102538.69;8800.09
MA;São Francisco do Maranhão;167776.88;165366.65;43377.81;40825.29;121724;121158;202.27;829.5;2472.8;2553.86;70215.22;1780.32;71995.54;6011.65;72801.41;1845.15;74646.56;6118.07
PI;São Gonçalo do Gurguéia;105915.38;73279.67;13638.8;14649.45;90837;56787;582.59;952.96;856.99;890.26;27370.36;1363.27;28733.63;9616.34;30732.21;1537.63;32269.84;10667.72
MA;São João do Paraíso;943759.85;785033.28;232467.27;233635.57;687943;527291;15939.13;16542.18;7410.45;7564.53;111824.74;5067.19;116891.93;10648.8;117988.69;5758.63;123747.32;11086.48
MA;São João do Soter;352791.3;523956.59;22912.35;20004.62;326069;497674;540.14;2873.87;3269.81;3404.11;91980.81;2727.36;94708.17;5162.61;98580.01;3503.5;102083.51;5536.58
MA;São João dos Patos;211694.11;272842.78;52576.68;49132.54;136889;202950;13046.58;11526.93;9181.85;9233.31;244549.98;18672.26;263222.24;10314.35;247386.78;19614.1;267000.88;10324.86
MA;São José dos Basílios;164718.54;144384.83;30747.67;31864.94;130893;109810;1485.7;1077.74;1592.17;1632.15;50580.58;1654.52;52235.1;6979.57;48792.13;1731.29;50523.42;6611.28
MA;São Luís Gonzaga do Maranhão;316344.51;342459.02;131694.72;132276.96;178752;203907;1691.12;1936.45;4206.67;4338.61;122457.54;4416.2;126873.75;6953.13;133495.1;4701.34;138196.44;7278.09
MA;São Mateus do Maranhão;336680.36;307875.48;77743.74;79197.99;231545;203612;14193.04;12189.48;13198.59;12876.01;353556.96;16592.95;370149.91;9029.81;327851.02;16734.78;344585.8;8333.39
TO;São Miguel do Tocantins;129348.44;136872.69;36273.07;38413.39;87320;93894;2673.81;1379.37;3081.56;3185.93;98925.51;3539.11;102464.62;8606.13;102503.15;3243.2;105746.34;8836.5
MA;São Pedro da Água Branca;243381.44;157509.42;58605.05;54519.7;175897;95875;4744.49;3122.53;4134.9;3992.18;84807.45;10319.63;95127.09;7603.48;89656.66;7751.67;97408.33;7703.31
MA;São Pedro dos Crentes;210800.41;233286.67;110702.05;109509.63;95985;119561;2649.8;2736.07;1463.55;1479.97;49608.72;2171.3;51780.01;11254.08;50822.67;2786.38;53609.05;11526.35
MA;São Raimundo das Mangabeiras;505546.85;493527.2;176121.75;199709.03;186617;225191;137127.09;63023.78;5681.01;5603.39;363898.12;21901.21;385799.32;20653.07;393857.39;23476.11;417333.5;22251.85
MA;São Raimundo do Doca Bezerra;143606.64;96507.46;19051.28;19368.06;122190;74979;821.49;573.94;1543.87;1586.47;34457.61;1014.53;35472.14;7171.88;37302.08;1153.38;38455.46;7194.66
MA;São Roberto;66683.75;60096.08;16436.26;16631.57;47326;40732;1078.51;865.41;1842.98;1867.1;42108.11;1037.04;43145.15;6435.73;40056.35;1020.73;41077.09;6177.93
TO;São Salvador do Tocantins;235565.93;146404.71;53831.84;52836.21;179966;91834;830.41;819.75;937.68;914.76;32789.24;1136.75;33925.99;11000.65;35374.51;1273.32;36647.83;11937.4
TO;São Sebastião do Tocantins;116153.93;87343;50959.3;54384.29;63279;31130;412.99;291.67;1502.65;1537.03;43097.83;1166.52;44264.34;9320.77;45186.08;1128.49;46314.56;9736.09
TO;São Valério;363761.54;357613.24;114860.91;119342.72;237457;227282;9785.39;9324.14;1658.25;1664.38;132071.01;5015.53;137086.53;33346.27;86500.31;5099.52;91599.82;22803.04
MA;Satubinha;163078.54;91087.3;39667.39;40884.91;119370;46020;1602.75;1748.31;2438.4;2434.08;64505.08;1837.19;66342.27;4756.06;69440.74;1956.72;71397.46;5200.11
PI;Sebastião Barros;118945.54;110884.28;47041.38;34532.3;70170;74809;916.33;692.42;817.84;850.56;33978.06;1101.77;35079.83;10254.26;36915.54;1368.09;38283.63;10975.81
PI;Sebastião Leal;427804.53;320666.55;36868.1;36366.96;387543;280266;2350.66;2962.03;1042.77;1071.56;115135.76;8172.88;123308.63;29192.38;140289.21;8661.75;148950.96;34752.91
MA;Senador Alexandre Costa;198894;217462.3;29628.8;32250.75;158619;175134;8242.48;7568.09;2403.72;2509.45;71095.37;3103.24;74198.61;6719.67;77191.95;4043.38;81235.33;7340.32
MA;Senador La Rocque;398729.38;272670.16;219250.89;177775.02;166355;82657;7180.19;6569.36;5943.3;5668.78;144321.84;5915.31;150237.16;10826.34;138405.74;6997.44;145403.17;10120.64
BA;Serra do Ramalho;183457.29;188159.53;141538.98;156965.76;19060;12562;15411.56;11772.33;7446.76;6859.45;286101.38;13808.17;299909.56;9090.65;265416.23;15974.4;281390.64;8923.97
BA;Serra Dourada;157520.84;172041.12;141521.18;153980.59;5528;8646;5002.21;4191.11;5469.45;5223.42;134854.19;5630.81;140485;7668.39;137520.36;6141.05;143661.41;8231.8
TO;Silvanópolis;214109.6;192875.55;99579.58;89774.4;100826;87536;11991.59;13739.03;1712.44;1826.12;140714.57;7590.88;148305.45;27469.06;144622.02;11099.53;155721.55;28955.29
BA;Sítio do Mato;85834.09;88304.51;72378.03;79360.18;7625;3925;1335.68;413.38;4495.39;4605.95;86835.32;3374.92;90210.24;6713.57;91201.66;3514.82;94716.47;7305.55
MA;Sítio Novo;735887.22;870424.32;263792.39;279966.63;459869;576678;6257.81;7842.28;5968.02;5937.4;137651;5082.86;142733.87;7995.85;146402.41;6189.3;152591.71;8476.85
TO;Sítio Novo do Tocantins;123767.85;121287.11;71224.11;76075.21;43358;36830;6814.97;5966.02;2370.77;2415.88;85724.28;3871.67;89595.95;9747.17;97832.8;4313.81;102146.61;11252.11
TO;Sucupira;172567.5;177974.99;119847.47;117708.87;51774;59221;21.05;139.48;924.98;905.64;57511.73;1350.02;58861.74;30325.47;62843.92;1346;64189.92;32985.57
MA;Sucupira do Norte;196851.85;275410.43;34449.48;34257.19;155935;234966;4262.62;3641.67;2204.75;2545.57;71667.48;2650.54;74318.02;7134.99;74902.43;2822.33;77724.76;7305.65
MA;Sucupira do Riachão;71476.69;63379.18;18221.57;17121.52;50977;44132;1417.78;1248.5;860.34;877.16;40860.84;1451.41;42312.25;7595.09;39420.82;1553.29;40974.11;7258.48
BA;Tabocas do Brejo Velho;202916.62;300116.54;61828.5;60143.34;127673;226787;10124.84;10003.59;3290.29;3182.6;114192.17;21130.06;135322.22;10363.96;132615.92;18580.71;151196.62;12079.3
TO;Taguatinga;463741.87;395144.31;215971.22;209147.46;229944;168056;12981.42;12852.6;4845.23;5088.25;217196.57;13237.85;230434.42;13940.38;228319.11;13937.26;242256.36;14648.47
TO;Taipas do Tocantins;83299.81;75111.24;33348.88;31307.14;48876;42517;214.84;398.57;860.09;888.53;21393.45;603.8;21997.25;10327.35;22460.06;723.07;23183.13;10878.99
TO;Talismã;370784.83;363939.07;207315.21;200425.42;144832;143902;11204.65;12270.96;7432.97;7340.7;79409.77;3986.68;83396.45;30031.13;78387.71;3920.85;82308.56;29682.14
MA;Tasso Fragoso;308429.8;439051.33;143015.31;168598.92;105287;251155;57570.15;16697.28;2557.34;2600.13;958993.18;25294.36;984287.54;116414.85;1147514.12;17180.84;1164694.95;137687.07
MA;Timbiras;331437.81;266650.65;21374.89;19650.78;299481;235977;3485.01;3617.08;7096.91;7405.79;144552.77;5752.41;150305.18;5249;161136.18;6761.25;167897.43;5776.82
MA;Timon;263984.07;297834.46;49240.55;49972.79;109977;131771;51952.17;60707.27;52814.35;55383.4;1600250.32;195907.09;1796157.42;10715.71;1670821.27;197152.86;1867974.13;11120.68
TO;Tocantínia;138436.73;150840.76;37108.05;35434.28;97538;111784;1830.96;1689.15;1959.73;1933.33;65374.87;2456.49;67831.36;9092.68;69341.47;2553.99;71895.46;9623.27
TO;Tocantinópolis;155414.59;225093.92;39650.16;42855.2;92083;158832;14267.19;14176.95;9414.23;9229.78;276748.16;23382.6;300130.76;12982;270435.26;25233.51;295668.77;12913.56
MA;Trizidela do Vale;96948.86;112063.63;33652.79;33142.1;45134;59551;10738.67;11810.32;7423.4;7560.21;176660.59;15703.28;192363.87;8844.72;267163.11;14594.54;281757.65;12874.46
MA;Tuntum;1200035;892360.37;231284.35;247827.99;948485;624036;9436.72;9499.17;10828.93;10997.21;264709.2;11774.29;276483.49;6687.71;300130.92;13199.66;313330.58;7528.18
TO;Tupirama;141308.28;199926.2;62822.69;50809.79;77124;147866;815.46;694.18;546.13;556.22;44623.02;1519.22;46142.24;25036.48;47932.78;1228.85;49161.63;26430.98
TO;Tupiratins;151656.7;183347.85;40952.05;39238.27;109797;143188;-;-;907.65;921.58;27725.18;856.63;28581.81;11104.04;28736.1;1029.61;29765.71;11391.39
MA;Tutóia;74588.31;82827.39;23300.78;25291.54;20701;25102;18634.76;20340.35;11951.76;12093.5;371889.37;22527.4;394416.77;6730.09;382897.3;26058.22;408955.52;7013.35
MA;Urbano Santos;63410.66;61787.54;6216.97;7088.74;37985;38858;11502.8;7670.38;7705.89;8170.42;172642.98;9077.86;181720.83;5500.36;182092.01;8950.61;191042.62;5828.91
PI;Uruçuí;1647990.29;1514413.57;164884.58;198598.6;1320424;1127281;153739.33;178834.88;8942.38;9699.09;1093497.52;168088.68;1261586.21;59542.49;1469580.41;233772.39;1703352.8;79384.48
MA;Vargem Grande;262257.2;260570.2;70775.82;71242.44;165446;164235;13502.92;12589.46;12532.46;12503.3;292736.14;15047.22;307783.36;5446.43;309323.11;16382.37;325705.49;5832.73
MA;Vila Nova dos Martírios;559546.68;479781.94;136785.94;148923.28;414633;322760;3954.09;4062.88;4173.65;4035.78;101454.34;6760.86;108215.21;8027.83;104426.01;6146.4;110572.42;8387.5
TO;Wanderlândia;281066.29;245006.55;64098.77;60698.89;165429;149267;47812.01;31436.07;3726.52;3604.59;146655.16;15241.58;161896.74;13864.58;127774.61;12838.49;140613.09;12089.51
BA;Wanderley;193170.07;201133.73;160571.58;169750.44;21840;20806;7001.62;6755.25;3756.86;3822.04;117623.98;4663.13;122287.11;9453.97;122248.1;5315.28;127563.38;10371.85
TO;Xambioá;317776.4;419110.41;187904.02;179673.62;112198;221741;13655.12;13567.41;4019.26;4128.38;321349.62;20142.93;341492.55;29229.87;265437.59;25516.81;290954.4;25166.89
