States;Municipalities;emi_2017;emi_2018;emi_agri_2017;emi_agri_2018;emi_luc_2017;emi_luc_2018;emi_energy_2017;emi_energy_2018;emi_wast_2017;emi_waste_2018;va_2017;imp_2017;pib_2017;pib_percapta_2017;va_2018;imp_2018;pib_2018;pib_percapta_2018
BA;Barreiras;1404998.22;1331598.43;276774.97;301425.94;714993;609964;342605.05;347780.28;70625.2;72428.2;3542895.11;353081.5;3895976.61;24714.7;4329060.13;415425.79;4744485.92;30842.2
PI;Barreiras do Piauí;48590.91;39013.42;18156.38;11320.6;29169;26691;485.82;195.9;779.72;805.92;23533.15;690.54;24223.7;7353.88;26613.22;798.71;27411.94;8197.35
MA;Barreirinhas;102724.57;103401.38;31038.18;22039.56;30459;39699;25650.41;25898.82;15576.98;15763.99;430143.35;27692.53;457835.88;7330.3;453495.51;31973.2;485468.72;7851.92
TO;Barrolândia;218111.61;220730.12;129628.82;118553.26;65511;69445;20554.02;30379.41;2417.77;2352.46;77929.77;6090.44;84020.21;14889.28;87065.52;6666.53;93732.05;16696.13
MA;Belágua;11764.09;9483.64;2628.28;2728.46;7290;4359;-;474.29;1845.82;1921.89;46642.7;945.02;47587.71;6411.71;45636.07;862.78;46498.85;6276
MA;Benedito Leite;123040.73;170356.43;30496.23;27541.9;90914;141075;190.36;246.69;1440.15;1492.84;38744.69;982.83;39727.52;7186.6;41764.81;1100.34;42865.15;7617.76
MA;Bernardo do Mearim;117885.13;101392.55;60333.5;51403.29;54402;46968;1129.5;967.35;2020.13;2053.92;47605.22;1559.67;49164.88;8231.19;47882.96;1553.94;49436.9;8224.4
TO;Bernardo Sayão;264098.37;252417.07;216842.32;194507.68;43180;53825;2158.29;2169.45;1917.76;1914.94;72694.07;4941.71;77635.78;17183.66;69328.23;5418.85;74747.08;16725.68
PI;Bertolínia;42905.46;51036.26;27122.43;21180.66;11959;26209;2462.96;2274.04;1361.07;1372.56;46453;6867.6;53320.6;9850.47;50531.74;8193.92;58725.66;10687.11
PI;Bom Jesus;1123183.43;1192038.04;392596.43;387426.1;607260;683016;107678.79;105021.1;15648.2;16574.83;753375.08;120413.22;873788.3;35360.3;793686.21;114658.69;908344.9;36392.02
BA;Bom Jesus da Lapa;218290.04;204785.17;111262.65;116684.55;31157;18317;52509.76;46790.87;23360.62;22992.74;909174.38;86623.53;995797.9;14101.19;920861.26;89252.19;1010113.45;14722.75
TO;Bom Jesus do Tocantins;1727199.89;1784560.84;546963.36;555751.92;1163169;1212901;8049.49;6154.48;9018.04;9753.43;61783.23;1434;63217.23;13450.47;72313.39;1702.34;74015.73;15487.7
MA;Bom Lugar;170748.65;117501.52;88466.37;90615.56;76352;21608;2871.93;2189.67;3058.35;3088.29;82819.27;3067.93;85887.2;5297.1;86819.14;3031.78;89850.92;5564.21
TO;Brasilândia do Tocantins;197290.93;224120.13;72353.78;75336.9;108881;133027;15080.59;14748.01;975.56;1008.21;35636.61;2854.49;38491.1;17503.91;37697.57;3357.76;41055.33;18738.17
TO;Brejinho de Nazaré;340408.62;260915.4;129294;128412.18;205721;127207;3116.23;3077.57;2277.39;2218.65;150622.85;3825.74;154448.59;28086.67;188908.26;4699.6;193607.86;35362.17
MA;Brejo;195379.09;143899.79;36309.34;38621.81;134829;82800;16618.94;14776.24;7621.81;7701.73;260640.49;13383.83;274024.32;7590.28;277953.81;14131.83;292085.64;8082.28
BA;Brejolândia;195683.48;332931.01;144808.91;144611.09;44918;182412;2851.8;2918.73;3104.77;2989.19;77809.14;2572.83;80381.97;7420.1;81821.41;3083.77;84905.18;8091.6
