States,Municipalities,emi_2018,emi_agri_2018,emi_luc_2018,emi_energy_2018,emi_waste_2018,pib_2018,population,Agriculture,LUC,Energy,Waste,group,group_name
MA,Caxias,658919.6599999999,97250.44,354636,147450.3,59582.92,1814096.14,164224,0.14759073966619848,0.5382082544023653,0.22377583937926515,0.09042516655217119,1,G1
TO,Centenário,334172.05,70776.04,258150,3230.62,2015.39,34299.96,2874,0.211795211478638,0.7725062583779823,0.009667535031729914,0.006030995111649823,5,G5
TO,Chapada da Natividade,234329.05000000002,80015.0,149617,3419.48,1277.57,64179.91,3334,0.341464278543356,0.6384910449643354,0.014592642269492407,0.005452034222816163,1,G1
TO,Chapada de Areia,128757.75649242655,59749.72,54760,13711.496492426555,536.54,23914.86,1401,0.46404753878663957,0.4252947666358333,0.10649064464891525,0.0041670499286119425,2,G2
MA,Chapadinha,293196.81,39628.24,197060,36729.65,19778.92,712070.94,79145,0.13515917857360044,0.6721082674808092,0.12527302053525072,0.06745953341033963,5,G5
MA,Cidelândia,530254.51,199487.35,281636,44956.66,4174.5,130419.32,14617,0.3762105672613704,0.5311336248700648,0.08478317327277424,0.007872634595790613,1,G1
BA,Cocos,543893.1299999999,109487.59,419028,9936.82,5440.72,317898.98,18746,0.20130349872225822,0.7704234102019272,0.018269802378272366,0.010003288697542478,5,G5
MA,Codó,1616341.21,212846.61,1317333,47292.27,38869.33,963180.19,122597,0.13168420670286565,0.8150092269193582,0.02925884071222808,0.024047725665548057,5,G5
MA,Coelho Neto,174159.02,52263.36,95923,12575.18,13397.48,367499.57,49245,0.30008988337210446,0.5507782485225284,0.07220516054810139,0.07692670755726577,1,G1
MA,Colinas,518819.5,178470.33,299247,28274.83,12827.34,383544.51,41042,0.3439931035745572,0.576784411534262,0.05449839491383805,0.024724089977342795,1,G1
TO,Colinas do Tocantins,427936.23,219929.37,49463,141272.09,17271.77,726144.22,34989,0.5139302414287288,0.1155849786310451,0.33012416359325314,0.04036061634697301,6,G6
TO,Colméia,295839.69999999995,199258.58,85239,7010.15,4331.97,144705.8,8269,0.6735356343317006,0.2881256301977051,0.02369577173043375,0.014642963740160638,4,G4
PI,Colônia do Gurguéia,22328.78,12786.24,2418,5137.95,1986.59,59583.97,6451,0.5726349581123554,0.1082907350961405,0.2301043765042246,0.08896993028727947,4,G4
TO,Combinado,68547.84,50155.31,11045,4733.39,2614.14,67451.44,4842,0.7316833032229754,0.16112834481728383,0.06905235817787987,0.03813599378186096,4,G4
TO,Conceição do Tocantins,191363.27,66524.61,119807,3684.9,1346.76,52034.61,4123,0.3476352071115842,0.6260710323355156,0.019256046366682593,0.007037714186217658,1,G1
BA,Coribe,178601.19,124732.26,44990,4921.07,3957.86,125813.87,14240,0.6983842604856104,0.25190201700223835,0.027553399840169038,0.0221603226719822,4,G4
MA,Coroatá,692803.78,83159.03,573976,14851.15,20817.6,457343.66,65043,0.12003258700464942,0.8284827776199488,0.021436300477459865,0.030048334897941807,5,G5
PI,Corrente,434249.60000000003,74340.25,330868,19786.7,9254.65,453884.35,26575,0.17119244324001678,0.7619304657966294,0.04556526937503224,0.021311821588321553,5,G5
BA,Correntina,1991731.83,371215.01,1366565,244717.75,9234.07,1944161.68,32081,0.18637800752523997,0.6861189741592872,0.12286681686459767,0.004636201450875041,5,G5
BA,Cotegipe,407772.0,171359.03,227414,4548.73,4450.24,126742.61,13795,0.4202324583345595,0.557698910175294,0.011155081761376454,0.010913549728769999,1,G1
TO,Couto Magalhães,276998.63,122803.45,122646,29634.56,1914.62,116360.32,5536,0.4433359471850095,0.4427675328213717,0.10698450024825033,0.006912019745368416,2,G2
TO,Cristalândia,449264.46,161304.89,274447,10263.94,3248.63,109929.26,7300,0.35904217751833745,0.6108807271334127,0.022846098264705825,0.007230997083544067,1,G1
PI,Cristalândia do Piauí,148094.06999999998,40893.75,103601,1376.77,2222.55,56682.87,8264,0.27613360886090854,0.699562109407892,0.009296591011375406,0.015007690719824234,1,G1
PI,Cristino Castro,104785.98,11054.51,80549,9757.42,3425.05,101930.95,10401,0.10549607876931628,0.7687001638959716,0.09311760981764927,0.03268614751706288,5,G5
BA,Cristópolis,152578.86,52720.92,76432,19223.87,4202.07,111539.58,13871,0.34553227098432904,0.5009344020528139,0.12599301108947858,0.02754031587337853,1,G1
TO,Crixás do Tocantins,203651.11000000002,89570.27,107892,5487.69,701.15,43539.38,1708,0.439822154664416,0.5297884209911745,0.026946526341054558,0.003442898003354855,2,G2
