States,Municipalities,emi_2018,emi_agri_2018,emi_luc_2018,emi_energy_2018,emi_waste_2018,pib_2018,population,Agriculture,LUC,Energy,Waste,group,group_name
TO,Tocantinópolis,225093.93000000002,42855.2,158832,14176.95,9229.78,295668.77,22895,0.19038807488056206,0.7056254249059492,0.06298237362509064,0.041004126588398006,5,G5
MA,Trizidela do Vale,112063.63,33142.1,59551,11810.32,7560.21,281757.65,21885,0.2957435878170286,0.5314034535558058,0.10538941135495968,0.06746354727220598,1,G1
MA,Tuntum,892360.37,247827.99,624036,9499.17,10997.21,313330.58,41621,0.2777218692488551,0.6993094056832667,0.01064499312088456,0.012323731946993566,1,G1
TO,Tupirama,199926.19,50809.79,147866,694.18,556.22,49161.63,1860,0.2541427413787058,0.7396029504688705,0.0034721814085488245,0.002782126743874827,5,G5
TO,Tupiratins,197729.35308734584,39238.27,143188,14381.503087345875,921.58,29765.71,2613,0.1984443350839605,0.7241615762367234,0.07273327334962212,0.004660815329694106,5,G5
MA,Tutóia,82827.39,25291.54,25102,20340.35,12093.5,408955.52,58311,0.30535237196294607,0.30306399851546695,0.24557516541327692,0.14600846410831006,6,G6
MA,Urbano Santos,61787.53999999999,7088.74,38858,7670.38,8170.42,191042.62,32775,0.1147276619201865,0.628897023574656,0.12414121034758789,0.13223410415756964,5,G5
PI,Uruçuí,1514413.5700000003,198598.6,1127281,178834.88,9699.09,1703352.8,21457,0.13113894641078788,0.7443679998192302,0.11808853508886609,0.00640451868111562,5,G5
MA,Vargem Grande,260570.19999999998,71242.44,164235,12589.46,12503.3,325705.49,55841,0.27340977594521554,0.6302908007132052,0.04831504139767326,0.0479843819439061,1,G1
MA,Vila Nova dos Martírios,479781.94000000006,148923.28,322760,4062.88,4035.78,110572.42,13183,0.31039784448743524,0.6727222787919027,0.008468180357101394,0.008411696363560496,1,G1
TO,Wanderlândia,245006.55000000002,60698.89,149267,31436.07,3604.59,140613.09,11630,0.24774394806995975,0.6092367734658521,0.12830705954595906,0.01471221891822892,1,G1
BA,Wanderley,201133.73,169750.44,20806,6755.25,3822.04,127563.38,12298,0.8439680405668407,0.10344361435548378,0.033585863494899636,0.019002481582775798,4,G4
TO,Xambioá,419110.41,179673.62,221741,13567.41,4128.38,290954.4,11560,0.4287023555439723,0.5290753813535675,0.03237192318845051,0.009850339914009772,2,G2
