,States,Municipalities,emi_2018,emi_agri_2018,emi_luc_2018,emi_energy_2018,emi_waste_2018,pib_2018,population,Agriculture and Livestock,LUC,Energy,Waste,group
11,PI,Alvorada do GurguÃ©ia,307633.5,20264.57,279419,6717.48,1232.45,70754.59,5392,0.06587244237054807,0.9082853460367613,0.021835983402327768,0.004006228190362883,4
12,MA,Amarante do MaranhÃ£o,1508035.91,525488.77,961908,11136.84,9502.3,314235.32,41135,0.3484590562568235,0.6378548372896505,0.007384996554889731,0.0063011098986363,0
13,TO,AnanÃ¡s,476973.3,174487.18,286151,9529.37,6805.75,131056.67,9606,0.36582169274464627,0.599930855668441,0.01997883319674288,0.014268618390169848,0
14,MA,Anapurus,123113.07,10303.4,105561,3612.08,3636.59,131751.24,15565,0.0836905456098203,0.8574313027853175,0.029339533162482258,0.029538618442379837,4
15,BA,Angical,205522.55,177527.91,20907,2672.32,4415.31,134673.55,14017,0.8637879882280558,0.10172606363632604,0.013002563465663503,0.021483336013493413,3
17,PI,AntÃ´nio Almeida,47394.61,10233.8,26943,8966.46,1251.34,136648.84,3158,0.2159275073684539,0.5684823653997786,0.18918733585949962,0.026402580377810892,0
18,TO,Aparecida do Rio Negro,278567.93,72021.08,199135,5800.94,1610.91,102279.76,4740,0.25854045725938374,0.7148525675586562,0.020824148709436868,0.005782826472523237,0
19,TO,Aragominas,801458.31,180343.76,618799,251.54,2064.01,64347.88,5785,0.2250195147393256,0.7720913143941324,0.0003138528815054647,0.0025753179850365516,4
20,TO,Araguacema,502404.24,137355.94,358411,4677.16,1960.15,126453.09,7016,0.2733972547683913,0.7133916704206159,0.009309555190059701,0.0039015395252237524,0
21,TO,AraguaÃ§u,1057182.96,715075.53,328580,5977.17,7550.25,192400.61,8567,0.6763971394317594,0.3108071284085018,0.005653865249587451,0.007141857451050857,3
22,TO,AraguaÃ­na,1314710.54,476287.96,410313,357827.03,70282.55,4387503.32,177517,0.3622759120802363,0.3120937936650299,0.2721717207804541,0.05345857347427974,5
23,TO,AraguanÃ£,639276.55,191305.09,436788,6066.77,5116.69,147237.72,8677,0.299252475317607,0.6832535934565408,0.009490055594875176,0.00800387563097692,0
24,TO,Araguatins,1301835.09,310540.61,956862,21222.45,13210.03,426291.95,35346,0.2385406664679779,0.7350101463312069,0.01630194958103334,0.01014723761978178,4
25,MA,Araioses,88626.77,30219.15,32563,15327.33,10517.29,269874.17,46103,0.3409709052919338,0.36741720362820396,0.1729424416573006,0.11866944942256161,5
